Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Nuh,NFCDSF-01-JZKNCNW0U7U2LP617AP6K2X8U2D136,Safari MAC (Cadmium),2023-03-28T15:17:28.392,2023-09-21T22:35:28.844,2023-03-28T15:17:28.392,2023-09-21T22:35:28.844,2023-03-28T15:17:28.392,2023-09-21T22:35:28.844,2023-03-28T15:17:28.392,2023-09-21T22:35:28.844,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-957A0D1C24B26214BC34F22C698551F0DB04C06B77330D5F81087F069DD162A1,Apple iPhone 14 Pro Max iPhone,2023-06-22T20:16:51.679,2023-08-08T06:37:56.091,2023-06-22T20:16:51.679,2023-08-08T06:37:56.091,2023-06-22T20:16:51.679,2023-08-08T06:37:56.091,2023-06-22T20:16:51.679,2023-08-08T06:37:56.091,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-4SALPL3F2DTE6QM27ISHIGY5DI3JD5Y53I2YZEJGFHVUAKJHEXAQ,Apple iPhone 14 Pro Max iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-6WJQSPQLM6KR4QYSH65I3YWCFSMW3SETF3Z2QTWGQWV65Q6BY7UQ,Apple iPhone 14 Pro Max iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-OXFQOLV4D3HYEJPORXWWUFELPD6GWSHXT4BKSISCSC63AGDEL3JA,Apple iPhone 14 Pro Max iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-01-G3E3C04P4EN2GD3GJX406AQKAFK33T,Safari MAC (Cadmium),2023-01-05T11:10:52.460,2023-01-05T11:10:52.460,,,2023-01-05T11:10:52.460,2023-01-05T11:10:52.460,,,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE10=6-145B84D82753590578BB78F1C3036C43423BED8FB4BA4623E2A06CA27F009314,Apple iPhone X (GSM),2021-08-16T14:45:25.788,2023-01-09T20:09:18.817,2022-03-19T22:24:40.385,2022-03-19T22:24:40.385,2021-08-16T14:45:25.788,2023-01-09T20:09:18.817,2022-03-19T22:24:40.385,2022-03-19T22:24:40.385,1970-01-01T00:00:00.000
Nuh,NFCDCH-MC-GDTYGNDK2RAW0F5UD7L70C8L26Y875,Netflix Chrome MAC (Cadmium) HTML 5,2021-11-07T19:55:12.985,2021-11-13T18:49:48.943,,,2021-11-07T19:55:12.985,2021-11-13T18:49:48.943,,,2022-11-27T21:37:45.854
Nuh,NFCDOP-01-HNMKEWGTRWT0MWG1C2WKJVP08CNW18,Netflix Opera Other,,,,,,,,,2022-11-27T21:37:27.596
Nuh,NFCDSF-PH-JGJPLF530EHHVERKDK9L2R8NA5YDY0,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDOP-01-J8LC3CM5QEWRQ9KFG1CDUGTXTJQTHG,Netflix Opera Other,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDOP-01-J0NJCLC65FNU8VNFK2WG9A025ERV16,Netflix Opera Other,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDCH-MC-HYEQCEWYHNDM5J7PVPCCD8GD9NUX6X,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDCH-MC-HY11A9K0MNLLGJD4ND3XFYVRQ5HFJY,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDCH-02-HTQHZTWMFUKW013H76P4X2FUL0RU57,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE10=6-957A0D1C24B26214BC34F22C698551F0DB04C06B77330D5F81087F069DD162A1,Apple iPhone X (GSM),,,,,,,,,1970-01-01T00:00:00.000
Televizyon,NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony Sony Android TV 2019 M3 Smart TV,2021-06-22T13:30:50.588,2025-03-26T19:16:01.769,2021-06-29T15:26:15.478,2025-03-26T19:16:01.769,2021-06-22T13:30:50.588,2025-03-26T19:16:01.769,2021-06-29T15:26:15.478,2025-03-26T19:16:01.769,
Ceren,NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,Safari MAC (Cadmium),2024-05-21T22:03:38.760,2025-03-26T17:05:09.076,2024-05-21T22:10:10.985,2025-03-22T10:35:22.572,2024-05-21T22:03:38.760,2025-03-26T17:05:09.076,2024-05-21T22:10:10.985,2025-03-22T10:35:22.572,
Begüm:),NFCDCH-02-LRNAMRRH4YXNHHKL4ETX1FW1WE58F4,Chrome PC (Cadmium),2025-01-17T19:09:19.316,2025-03-25T20:12:37.804,2025-01-17T19:13:44.361,2025-03-25T20:12:37.804,2025-01-17T19:09:19.316,2025-03-25T20:12:37.804,2025-01-17T19:13:44.361,2025-03-25T20:12:37.804,
Begüm:),NFAPPL-02-IPHONE15=3-A02CF83A8ABB74C2D5D3408664A36C8EADF1C710A7D299B0BB71060CDAF18641,Apple iPhone 14 Pro Max iPhone,2023-08-11T11:27:33.684,2025-03-21T21:12:34.936,2023-08-11T11:27:57.280,2025-03-21T21:12:34.936,2023-08-11T11:27:33.684,2025-03-21T21:12:34.936,2023-08-11T11:27:57.280,2025-03-21T21:12:34.936,
Ceren,NFAPPL-02-IPHONE15=3-77640EDD888E173D9F71936FDB480D6752C6BB334BDD6D4C5B538D5D5A5B1225,Apple iPhone 14 Pro Max iPhone,2025-02-01T07:27:28.972,2025-03-20T14:23:24.609,2025-02-01T12:04:37.505,2025-03-20T14:23:24.609,2025-02-01T07:27:28.972,2025-03-20T14:23:24.609,2025-02-01T12:04:37.505,2025-03-20T14:23:24.609,
Begüm:),NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony Sony Android TV 2019 M3 Smart TV,2021-06-22T13:30:50.588,2025-03-26T19:16:01.769,2021-06-29T15:26:15.478,2025-03-26T19:16:01.769,2022-04-02T06:03:18.473,2025-03-04T17:51:16.960,2022-12-31T06:29:41.971,2025-03-04T17:51:16.960,
Ceren,NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony Sony Android TV 2019 M3 Smart TV,2021-06-22T13:30:50.588,2025-03-26T19:16:01.769,2021-06-29T15:26:15.478,2025-03-26T19:16:01.769,2023-07-08T10:28:21.676,2025-01-29T06:46:25.007,2023-07-08T10:28:21.676,2025-01-29T06:46:25.007,
Ceren,NFCDSF-01-LQLJNRHPMQ112W4WCNVVT5NF2PXHEC,Safari MAC (Cadmium),2025-01-04T23:40:01.201,2025-01-05T07:51:24.323,2025-01-04T23:40:01.201,2025-01-05T07:51:24.323,2025-01-04T23:40:01.201,2025-01-05T07:51:24.323,2025-01-04T23:40:01.201,2025-01-05T07:51:24.323,
Begüm:),NFCDCH-02-HUG4Q6JNQXFP0HHU0N87X903JFU9H2,Chrome PC (Cadmium),2021-12-16T19:14:03.406,2024-12-30T11:16:45.676,2021-12-16T19:14:03.406,2024-12-30T11:16:45.676,2021-12-16T19:14:03.406,2024-12-30T11:16:45.676,2021-12-16T19:14:03.406,2024-12-30T11:16:45.676,
Ceren,NFCDSF-01-LPNY40X5LKUAK7AKC346UW2YUHUC9N,Safari MAC (Cadmium),2024-12-24T18:08:23.856,2024-12-24T18:08:23.856,,,2024-12-24T18:08:23.856,2024-12-24T18:08:23.856,,,
Ceren,NFAPPL-02-IPHONE15=3-C58078D7F8EB6547882DB45580995A2B5C848B3EDA2568DF32C6F568A67890AB,Apple iPhone 14 Pro Max iPhone,2023-09-14T14:18:45.244,2024-12-12T23:05:45.167,2024-01-16T15:12:01.320,2024-12-12T23:05:45.167,2023-09-14T14:18:45.244,2024-12-12T23:05:45.167,2024-01-16T15:12:01.320,2024-12-12T23:05:45.167,
Hülya,NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,Safari MAC (Cadmium),2024-05-21T22:03:38.760,2025-03-26T17:05:09.076,2024-05-21T22:10:10.985,2025-03-22T10:35:22.572,2024-11-21T13:01:02.540,2024-11-22T11:29:36.440,2024-11-21T13:01:02.540,2024-11-22T11:29:27.420,
Ceren,NFPS5-001-KWM5KFJ8E920NPP5EQ5FZZ2Q1R,Sony PS5,2024-04-04T16:34:35.547,2024-11-01T15:42:17.420,2024-04-04T16:37:56.615,2024-10-22T17:31:20.518,2024-04-04T16:34:35.547,2024-11-01T15:42:17.420,2024-04-04T16:37:56.615,2024-10-22T17:31:20.518,
Ceren,NFCDCH-MC-H1VNTN5XU93NULW61LE3GPPN64MGNW,Netflix Chrome MAC (Cadmium) HTML 5,2024-10-13T11:12:52.696,2024-10-13T14:31:17.158,2024-10-13T11:12:52.696,2024-10-13T14:31:17.158,2024-10-13T11:12:52.696,2024-10-13T14:31:17.158,2024-10-13T11:12:52.696,2024-10-13T14:31:17.158,
Ceren,NFCDCH-MC-LHKWA7LUCDCY2PL6HAPJ9UU5LG3A7T,Netflix Chrome MAC (Cadmium) HTML 5,2024-10-11T18:42:35.054,2024-10-13T00:46:39.233,2024-10-11T18:42:35.054,2024-10-13T00:46:39.233,2024-10-11T18:42:35.054,2024-10-13T00:46:39.233,2024-10-11T18:42:35.054,2024-10-13T00:46:39.233,
